question_id,question_content,topic_tags,difficulty,weight,answer,student_response
Q0110,Passage comprehension question 110 about tone,Tone,Hard,3,Sample correct answer 110,Sample student response 110
Q0111,Passage comprehension question 111 about main idea,Main Idea,Easy,3,Sample correct answer 111,Sample student response 111
Q0112,Passage comprehension question 112 about vocabulary,Vocabulary,Medium,4,Sample correct answer 112,Sample student response 112
Q0113,Passage comprehension question 113 about vocabulary,Vocabulary,Hard,3,Sample correct answer 113,Sample student response 113
Q0114,Passage comprehension question 114 about details,Details,Medium,1,Sample correct answer 114,Sample student response 114
Q0115,Passage comprehension question 115 about inference,Inference,Medium,5,Sample correct answer 115,Sample student response 115
Q0116,Passage comprehension question 116 about tone,Tone,Easy,1,Sample correct answer 116,Sample student response 116
Q0117,Passage comprehension question 117 about tone,Tone,Easy,5,Sample correct answer 117,Sample student response 117
Q0118,Passage comprehension question 118 about main idea,Main Idea,Easy,3,Sample correct answer 118,Sample student response 118
Q0119,Passage comprehension question 119 about inference,Inference,Easy,3,Sample correct answer 119,Sample student response 119
Q0120,Passage comprehension question 120 about main idea,Main Idea,Easy,4,Sample correct answer 120,Sample student response 120
Q0121,Passage comprehension question 121 about tone,Tone,Hard,3,Sample correct answer 121,Sample student response 121
Q0122,Passage comprehension question 122 about tone,Tone,Hard,5,Sample correct answer 122,Sample student response 122
Q0123,Passage comprehension question 123 about inference,Inference,Hard,5,Sample correct answer 123,Sample student response 123
Q0124,Passage comprehension question 124 about main idea,Main Idea,Hard,1,Sample correct answer 124,Sample student response 124
Q0125,Passage comprehension question 125 about vocabulary,Vocabulary,Medium,1,Sample correct answer 125,Sample student response 125
Q0126,Passage comprehension question 126 about inference,Inference,Hard,5,Sample correct answer 126,Sample student response 126
Q0127,Passage comprehension question 127 about vocabulary,Vocabulary,Medium,3,Sample correct answer 127,Sample student response 127
Q0128,Passage comprehension question 128 about tone,Tone,Easy,3,Sample correct answer 128,Sample student response 128
Q0129,Passage comprehension question 129 about vocabulary,Vocabulary,Hard,3,Sample correct answer 129,Sample student response 129
Q0130,Passage comprehension question 130 about tone,Tone,Medium,3,Sample correct answer 130,Sample student response 130
Q0131,Passage comprehension question 131 about inference,Inference,Easy,4,Sample correct answer 131,Sample student response 131
Q0132,Passage comprehension question 132 about main idea,Main Idea,Easy,1,Sample correct answer 132,Sample student response 132
Q0133,Passage comprehension question 133 about main idea,Main Idea,Easy,3,Sample correct answer 133,Sample student response 133
Q0134,Passage comprehension question 134 about vocabulary,Vocabulary,Hard,4,Sample correct answer 134,Sample student response 134
Q0135,Passage comprehension question 135 about tone,Tone,Hard,4,Sample correct answer 135,Sample student response 135
Q0136,Passage comprehension question 136 about tone,Tone,Easy,1,Sample correct answer 136,Sample student response 136
Q0137,Passage comprehension question 137 about inference,Inference,Hard,2,Sample correct answer 137,Sample student response 137
Q0138,Passage comprehension question 138 about tone,Tone,Easy,3,Sample correct answer 138,Sample student response 138
Q0139,Passage comprehension question 139 about tone,Tone,Hard,2,Sample correct answer 139,Sample student response 139
Q0140,Passage comprehension question 140 about details,Details,Easy,1,Sample correct answer 140,Sample student response 140
Q0141,Passage comprehension question 141 about main idea,Main Idea,Medium,1,Sample correct answer 141,Sample student response 141
Q0142,Passage comprehension question 142 about main idea,Main Idea,Easy,2,Sample correct answer 142,Sample student response 142
Q0143,Passage comprehension question 143 about inference,Inference,Medium,5,Sample correct answer 143,Sample student response 143
Q0144,Passage comprehension question 144 about details,Details,Hard,2,Sample correct answer 144,Sample student response 144
Q0145,Passage comprehension question 145 about vocabulary,Vocabulary,Easy,2,Sample correct answer 145,Sample student response 145
Q0146,Passage comprehension question 146 about details,Details,Easy,2,Sample correct answer 146,Sample student response 146
Q0147,Passage comprehension question 147 about main idea,Main Idea,Medium,2,Sample correct answer 147,Sample student response 147
Q0148,Passage comprehension question 148 about main idea,Main Idea,Easy,1,Sample correct answer 148,Sample student response 148
Q0149,Passage comprehension question 149 about details,Details,Easy,4,Sample correct answer 149,Sample student response 149
Q0150,Passage comprehension question 150 about vocabulary,Vocabulary,Easy,4,Sample correct answer 150,Sample student response 150
Q0151,Passage comprehension question 151 about main idea,Main Idea,Medium,2,Sample correct answer 151,Sample student response 151
Q0152,Passage comprehension question 152 about vocabulary,Vocabulary,Easy,2,Sample correct answer 152,Sample student response 152
Q0153,Passage comprehension question 153 about details,Details,Medium,3,Sample correct answer 153,Sample student response 153
Q0154,Passage comprehension question 154 about inference,Inference,Medium,3,Sample correct answer 154,Sample student response 154
Q0155,Passage comprehension question 155 about tone,Tone,Medium,5,Sample correct answer 155,Sample student response 155
Q0156,Passage comprehension question 156 about main idea,Main Idea,Easy,1,Sample correct answer 156,Sample student response 156
Q0157,Passage comprehension question 157 about main idea,Main Idea,Easy,5,Sample correct answer 157,Sample student response 157
Q0158,Passage comprehension question 158 about main idea,Main Idea,Easy,1,Sample correct answer 158,Sample student response 158
Q0159,Passage comprehension question 159 about tone,Tone,Medium,3,Sample correct answer 159,Sample student response 159
Q0160,Passage comprehension question 160 about main idea,Main Idea,Medium,5,Sample correct answer 160,Sample student response 160
Q0161,Passage comprehension question 161 about tone,Tone,Easy,4,Sample correct answer 161,Sample student response 161
Q0162,Passage comprehension question 162 about tone,Tone,Easy,3,Sample correct answer 162,Sample student response 162
Q0163,Passage comprehension question 163 about inference,Inference,Hard,4,Sample correct answer 163,Sample student response 163
Q0164,Passage comprehension question 164 about inference,Inference,Hard,5,Sample correct answer 164,Sample student response 164
Q0165,Passage comprehension question 165 about vocabulary,Vocabulary,Medium,4,Sample correct answer 165,Sample student response 165
Q0166,Passage comprehension question 166 about inference,Inference,Hard,3,Sample correct answer 166,Sample student response 166
Q0167,Passage comprehension question 167 about tone,Tone,Medium,1,Sample correct answer 167,Sample student response 167
Q0168,Passage comprehension question 168 about main idea,Main Idea,Hard,3,Sample correct answer 168,Sample student response 168
Q0169,Passage comprehension question 169 about details,Details,Medium,4,Sample correct answer 169,Sample student response 169
Q0170,Passage comprehension question 170 about main idea,Main Idea,Hard,2,Sample correct answer 170,Sample student response 170
Q0171,Passage comprehension question 171 about vocabulary,Vocabulary,Medium,4,Sample correct answer 171,Sample student response 171
Q0172,Passage comprehension question 172 about vocabulary,Vocabulary,Hard,5,Sample correct answer 172,Sample student response 172
Q0173,Passage comprehension question 173 about main idea,Main Idea,Medium,5,Sample correct answer 173,Sample student response 173
Q0174,Passage comprehension question 174 about inference,Inference,Medium,3,Sample correct answer 174,Sample student response 174
Q0175,Passage comprehension question 175 about vocabulary,Vocabulary,Medium,5,Sample correct answer 175,Sample student response 175
Q0176,Passage comprehension question 176 about tone,Tone,Hard,3,Sample correct answer 176,Sample student response 176
Q0177,Passage comprehension question 177 about details,Details,Medium,4,Sample correct answer 177,Sample student response 177
Q0178,Passage comprehension question 178 about vocabulary,Vocabulary,Hard,4,Sample correct answer 178,Sample student response 178
Q0179,Passage comprehension question 179 about vocabulary,Vocabulary,Hard,1,Sample correct answer 179,Sample student response 179
Q0180,Passage comprehension question 180 about main idea,Main Idea,Hard,5,Sample correct answer 180,Sample student response 180
Q0181,Passage comprehension question 181 about main idea,Main Idea,Easy,2,Sample correct answer 181,Sample student response 181
Q0182,Passage comprehension question 182 about main idea,Main Idea,Easy,2,Sample correct answer 182,Sample student response 182
Q0183,Passage comprehension question 183 about vocabulary,Vocabulary,Easy,1,Sample correct answer 183,Sample student response 183
Q0184,Passage comprehension question 184 about vocabulary,Vocabulary,Medium,5,Sample correct answer 184,Sample student response 184
Q0185,Passage comprehension question 185 about inference,Inference,Medium,4,Sample correct answer 185,Sample student response 185
Q0186,Passage comprehension question 186 about tone,Tone,Easy,4,Sample correct answer 186,Sample student response 186
Q0187,Passage comprehension question 187 about details,Details,Medium,2,Sample correct answer 187,Sample student response 187
Q0188,Passage comprehension question 188 about vocabulary,Vocabulary,Hard,1,Sample correct answer 188,Sample student response 188
Q0189,Passage comprehension question 189 about inference,Inference,Medium,2,Sample correct answer 189,Sample student response 189
Q0190,Passage comprehension question 190 about vocabulary,Vocabulary,Hard,5,Sample correct answer 190,Sample student response 190
Q0191,Passage comprehension question 191 about details,Details,Easy,5,Sample correct answer 191,Sample student response 191
Q0192,Passage comprehension question 192 about vocabulary,Vocabulary,Easy,4,Sample correct answer 192,Sample student response 192
Q0193,Passage comprehension question 193 about vocabulary,Vocabulary,Medium,5,Sample correct answer 193,Sample student response 193
Q0194,Passage comprehension question 194 about tone,Tone,Hard,3,Sample correct answer 194,Sample student response 194
Q0195,Passage comprehension question 195 about details,Details,Hard,5,Sample correct answer 195,Sample student response 195
Q0196,Passage comprehension question 196 about details,Details,Hard,4,Sample correct answer 196,Sample student response 196
Q0197,Passage comprehension question 197 about vocabulary,Vocabulary,Hard,4,Sample correct answer 197,Sample student response 197
Q0198,Passage comprehension question 198 about details,Details,Medium,2,Sample correct answer 198,Sample student response 198
Q0199,Passage comprehension question 199 about main idea,Main Idea,Hard,4,Sample correct answer 199,Sample student response 199
Q0200,Passage comprehension question 200 about vocabulary,Vocabulary,Medium,4,Sample correct answer 200,Sample student response 200
Q0201,Passage comprehension question 201 about inference,Inference,Hard,3,Sample correct answer 201,Sample student response 201
Q0202,Passage comprehension question 202 about vocabulary,Vocabulary,Medium,3,Sample correct answer 202,Sample student response 202
Q0203,Passage comprehension question 203 about main idea,Main Idea,Hard,1,Sample correct answer 203,Sample student response 203
Q0204,Passage comprehension question 204 about vocabulary,Vocabulary,Easy,2,Sample correct answer 204,Sample student response 204
Q0205,Passage comprehension question 205 about details,Details,Hard,2,Sample correct answer 205,Sample student response 205
Q0206,Passage comprehension question 206 about vocabulary,Vocabulary,Easy,4,Sample correct answer 206,Sample student response 206
Q0207,Passage comprehension question 207 about details,Details,Medium,5,Sample correct answer 207,Sample student response 207
Q0208,Passage comprehension question 208 about details,Details,Medium,1,Sample correct answer 208,Sample student response 208
Q0209,Passage comprehension question 209 about vocabulary,Vocabulary,Medium,4,Sample correct answer 209,Sample student response 209
Q0210,Passage comprehension question 210 about tone,Tone,Hard,1,Sample correct answer 210,Sample student response 210
Q0211,Passage comprehension question 211 about tone,Tone,Medium,4,Sample correct answer 211,Sample student response 211
Q0212,Passage comprehension question 212 about inference,Inference,Medium,3,Sample correct answer 212,Sample student response 212
Q0213,Passage comprehension question 213 about details,Details,Medium,5,Sample correct answer 213,Sample student response 213
Q0214,Passage comprehension question 214 about tone,Tone,Hard,2,Sample correct answer 214,Sample student response 214
Q0215,Passage comprehension question 215 about details,Details,Easy,3,Sample correct answer 215,Sample student response 215
Q0216,Passage comprehension question 216 about details,Details,Medium,1,Sample correct answer 216,Sample student response 216
Q0217,Passage comprehension question 217 about details,Details,Medium,4,Sample correct answer 217,Sample student response 217
Q0218,Passage comprehension question 218 about vocabulary,Vocabulary,Medium,2,Sample correct answer 218,Sample student response 218
Q0219,Passage comprehension question 219 about tone,Tone,Hard,1,Sample correct answer 219,Sample student response 219
Q0220,Passage comprehension question 220 about details,Details,Hard,5,Sample correct answer 220,Sample student response 220
Q0221,Passage comprehension question 221 about inference,Inference,Easy,4,Sample correct answer 221,Sample student response 221
Q0222,Passage comprehension question 222 about vocabulary,Vocabulary,Medium,2,Sample correct answer 222,Sample student response 222
Q0223,Passage comprehension question 223 about inference,Inference,Medium,4,Sample correct answer 223,Sample student response 223
Q0224,Passage comprehension question 224 about main idea,Main Idea,Easy,4,Sample correct answer 224,Sample student response 224
Q0225,Passage comprehension question 225 about main idea,Main Idea,Medium,4,Sample correct answer 225,Sample student response 225
Q0226,Passage comprehension question 226 about main idea,Main Idea,Medium,3,Sample correct answer 226,Sample student response 226
Q0227,Passage comprehension question 227 about inference,Inference,Medium,1,Sample correct answer 227,Sample student response 227
Q0228,Passage comprehension question 228 about tone,Tone,Easy,3,Sample correct answer 228,Sample student response 228
Q0229,Passage comprehension question 229 about vocabulary,Vocabulary,Hard,1,Sample correct answer 229,Sample student response 229
Q0230,Passage comprehension question 230 about inference,Inference,Easy,2,Sample correct answer 230,Sample student response 230
Q0231,Passage comprehension question 231 about vocabulary,Vocabulary,Easy,5,Sample correct answer 231,Sample student response 231
Q0232,Passage comprehension question 232 about vocabulary,Vocabulary,Easy,2,Sample correct answer 232,Sample student response 232
Q0233,Passage comprehension question 233 about details,Details,Hard,1,Sample correct answer 233,Sample student response 233
Q0234,Passage comprehension question 234 about tone,Tone,Easy,4,Sample correct answer 234,Sample student response 234
Q0235,Passage comprehension question 235 about main idea,Main Idea,Medium,2,Sample correct answer 235,Sample student response 235
Q0236,Passage comprehension question 236 about tone,Tone,Hard,1,Sample correct answer 236,Sample student response 236
Q0237,Passage comprehension question 237 about vocabulary,Vocabulary,Medium,1,Sample correct answer 237,Sample student response 237
Q0238,Passage comprehension question 238 about tone,Tone,Easy,3,Sample correct answer 238,Sample student response 238
Q0239,Passage comprehension question 239 about tone,Tone,Hard,4,Sample correct answer 239,Sample student response 239
Q0240,Passage comprehension question 240 about details,Details,Hard,2,Sample correct answer 240,Sample student response 240
Q0241,Passage comprehension question 241 about inference,Inference,Hard,2,Sample correct answer 241,Sample student response 241
Q0242,Passage comprehension question 242 about inference,Inference,Hard,3,Sample correct answer 242,Sample student response 242
Q0243,Passage comprehension question 243 about tone,Tone,Easy,5,Sample correct answer 243,Sample student response 243
Q0244,Passage comprehension question 244 about inference,Inference,Medium,5,Sample correct answer 244,Sample student response 244
Q0245,Passage comprehension question 245 about details,Details,Hard,3,Sample correct answer 245,Sample student response 245
Q0246,Passage comprehension question 246 about inference,Inference,Hard,3,Sample correct answer 246,Sample student response 246
Q0247,Passage comprehension question 247 about inference,Inference,Medium,4,Sample correct answer 247,Sample student response 247
Q0248,Passage comprehension question 248 about inference,Inference,Medium,3,Sample correct answer 248,Sample student response 248
Q0249,Passage comprehension question 249 about details,Details,Hard,2,Sample correct answer 249,Sample student response 249
Q0250,Passage comprehension question 250 about details,Details,Easy,5,Sample correct answer 250,Sample student response 250
Q0251,Passage comprehension question 251 about main idea,Main Idea,Hard,5,Sample correct answer 251,Sample student response 251
Q0252,Passage comprehension question 252 about details,Details,Medium,4,Sample correct answer 252,Sample student response 252
Q0253,Passage comprehension question 253 about tone,Tone,Medium,3,Sample correct answer 253,Sample student response 253
Q0254,Passage comprehension question 254 about vocabulary,Vocabulary,Easy,3,Sample correct answer 254,Sample student response 254
Q0255,Passage comprehension question 255 about details,Details,Easy,4,Sample correct answer 255,Sample student response 255
Q0256,Passage comprehension question 256 about tone,Tone,Hard,4,Sample correct answer 256,Sample student response 256
Q0257,Passage comprehension question 257 about main idea,Main Idea,Easy,4,Sample correct answer 257,Sample student response 257
Q0258,Passage comprehension question 258 about main idea,Main Idea,Easy,4,Sample correct answer 258,Sample student response 258
Q0259,Passage comprehension question 259 about vocabulary,Vocabulary,Medium,3,Sample correct answer 259,Sample student response 259
Q0260,Passage comprehension question 260 about main idea,Main Idea,Medium,5,Sample correct answer 260,Sample student response 260
Q0261,Passage comprehension question 261 about main idea,Main Idea,Hard,1,Sample correct answer 261,Sample student response 261
Q0262,Passage comprehension question 262 about tone,Tone,Easy,1,Sample correct answer 262,Sample student response 262
Q0263,Passage comprehension question 263 about vocabulary,Vocabulary,Hard,4,Sample correct answer 263,Sample student response 263
Q0264,Passage comprehension question 264 about details,Details,Hard,2,Sample correct answer 264,Sample student response 264
Q0265,Passage comprehension question 265 about details,Details,Hard,4,Sample correct answer 265,Sample student response 265
Q0266,Passage comprehension question 266 about details,Details,Easy,1,Sample correct answer 266,Sample student response 266
Q0267,Passage comprehension question 267 about main idea,Main Idea,Easy,4,Sample correct answer 267,Sample student response 267
Q0268,Passage comprehension question 268 about vocabulary,Vocabulary,Medium,5,Sample correct answer 268,Sample student response 268
Q0269,Passage comprehension question 269 about main idea,Main Idea,Medium,5,Sample correct answer 269,Sample student response 269
Q0270,Passage comprehension question 270 about tone,Tone,Medium,4,Sample correct answer 270,Sample student response 270
Q0271,Passage comprehension question 271 about tone,Tone,Medium,3,Sample correct answer 271,Sample student response 271
Q0272,Passage comprehension question 272 about details,Details,Medium,3,Sample correct answer 272,Sample student response 272
Q0273,Passage comprehension question 273 about main idea,Main Idea,Easy,1,Sample correct answer 273,Sample student response 273
Q0274,Passage comprehension question 274 about vocabulary,Vocabulary,Medium,1,Sample correct answer 274,Sample student response 274
Q0275,Passage comprehension question 275 about tone,Tone,Hard,2,Sample correct answer 275,Sample student response 275
Q0276,Passage comprehension question 276 about vocabulary,Vocabulary,Easy,4,Sample correct answer 276,Sample student response 276
Q0277,Passage comprehension question 277 about main idea,Main Idea,Hard,5,Sample correct answer 277,Sample student response 277
Q0278,Passage comprehension question 278 about tone,Tone,Hard,3,Sample correct answer 278,Sample student response 278
Q0279,Passage comprehension question 279 about inference,Inference,Easy,3,Sample correct answer 279,Sample student response 279
Q0280,Passage comprehension question 280 about vocabulary,Vocabulary,Medium,2,Sample correct answer 280,Sample student response 280
